query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,spectrum_ids,analog_compound_name,retention_time,retention_index,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.6237,0.0000,111.0440,111.0440,YCIMNLLNPGFGHC,251792,"benzene-1,2-diol",,,OC1=CC=CC=C1O,Organic compounds,Benzenoids,Phenols,Benzenediols,Catechols,,,Shikimates and Phenylpropanoids
2,0.6237,0.0000,111.0440,111.0440,QIGBRXMKCJKVMJ,7683,Hydroquinone,,,C1=CC(=CC=C1O)O,Organic compounds,Benzenoids,Phenols,Benzenediols,Hydroquinones,,,Shikimates and Phenylpropanoids
3,0.6237,0.0000,111.0440,111.0440,QIGBRXMKCJKVMJ,7683,Hydroquinone,,,C1=CC(=CC=C1O)O,Organic compounds,Benzenoids,Phenols,Benzenediols,Hydroquinones,,,Shikimates and Phenylpropanoids
4,0.6237,0.0004,123.0804,123.0800,DFPAKSUCGFBDDF,310833,3-Pyridinecarboxamide,,,NC(=O)C1=CN=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
5,0.9397,0.0003,579.1493,579.1490,XFZJEEAOWLFHDH,24733,Procyanidin B2,,,O[C@@H]([C@@H](C1=CC=C(O)C(O)=C1)O2)CC3=C2C([C@@H]4[C@@H](O)[C@@H](C5=CC=C(O)C(O)=C5)OC6=C4C(O)=CC(O)=C6)=C(O)C=C3O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Biflavonoids and polyflavonoids,Biflavonoids and polyflavonoids,Proanthocyanins,Flavonoids,Shikimates and Phenylpropanoids
7,0.8722,0.0005,181.0495,181.0490,QAIPRVGONGVQAS,255081,Caffeic acid,,,OC1=C(O)C=C(/C=C/C(O)=O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
10,0.8329,0.0006,180.0654,180.0660,QIAFMBKCNZACKA,303928,HIPPURIC ACID,,,OC(=O)CNC(=O)C1=CC=CC=C1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hippuric acids,Dipeptides,Small peptides,Amino acids and Peptides
14,0.8556,0.0010,291.0860,291.0870,PFTAWBLQPZVEMU,246333,EpCt_mi,,,OC1=C(C[C@H](O)[C@@H](C2=CC(O)=C(O)C=C2)O3)C3=CC(O)=C1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Catechins,Flavan-3-ols,Flavonoids,Shikimates and Phenylpropanoids
18,0.8331,1.0030,582.1530,581.1500,ZPPQIOUITZSYAO,252515,Cyanidine-3-O-sambubioside M,,,OC[C@H]1O[C@@H](OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C=C2)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Anthocyanidin-3-O-glycosides,Anthocyanidins,Flavonoids,Shikimates and Phenylpropanoids
20,0.8768,0.0004,181.0494,181.0490,QAIPRVGONGVQAS,255081,Caffeic acid,,,OC1=C(O)C=C(/C=C/C(O)=O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
