,feature_id,compound_db_identity,compound_name,compound_annotation_score,mol_formula,adduct,precursor_mz,mz_diff_ppm,neutral_mass,rt
0,202,not available,not available,not available,not available,not available,not available,not available,not available,not available
1,702,not available,not available,not available,not available,not available,not available,not available,not available,not available
2,1131,not available,not available,not available,not available,not available,not available,not available,not available,not available
3,2207,not available,not available,not available,not available,not available,not available,not available,not available,not available
4,2832,Procyanidin B1: [M+H]+: 0.843,Procyanidin B1,0.84,C30H26O12,[M+H]+,579.1497,-0.69,578.14243,3.96
5,2953,not available,not available,not available,not available,not available,not available,not available,not available,not available
6,3268,not available,not available,not available,not available,not available,not available,not available,not available,not available
7,3278,Caffeic Acid-3-B-D-Glucuronide: [M+H]+: 0.532,Caffeic Acid-3-B-D-Glucuronide,0.53,C15H16O10,[M+H]+,357.08162,-1.92,356.07435,4.16
8,3284,not available,not available,not available,not available,not available,not available,not available,not available,not available
9,3322,Hippuric Acid: [M+H]+: 0.595,Hippuric Acid,0.59,C9H9NO3,[M+H]+,180.06552,-0.52,179.05824,4.19
10,3511,not available,not available,not available,not available,not available,not available,not available,not available,not available
11,3553,Chlorogenic Acid: [M+H]+: 0.661,Chlorogenic Acid,0.66,C16H18O9,[M+H]+,355.10236,-1.28,354.09508,4.24
12,3583,not available,not available,not available,not available,not available,not available,not available,not available,not available
13,3631,(+)-Catechin: [M+H]+: 0.636,(+)-Catechin,0.64,C15H14O6,[M+H]+,291.08631,-1.23,290.07904,4.28
14,3640,not available,not available,not available,not available,not available,not available,not available,not available,not available
15,3989,Vanillic Acid: [M+H]+: 0.688,Vanillic Acid,0.69,C8H8O4,[M+H]+,169.04953,-0.07,168.04226,4.44
16,4026,not available,not available,not available,not available,not available,not available,not available,not available,not available
17,4051,not available,not available,not available,not available,not available,not available,not available,not available,not available
18,4124,not available,not available,not available,not available,not available,not available,not available,not available,not available
19,4265,Caffeic Acid: [M+H]+: 0.671,Caffeic Acid,0.67,C9H8O4,[M+H]+,181.04953,-0.66,180.04226,4.54
20,4634,Procyanidin B2: [M+H]+: 0.789,Procyanidin B2,0.79,C30H26O12,[M+H]+,579.1497,-0.59,578.14243,4.63
21,4712,not available,not available,not available,not available,not available,not available,not available,not available,not available
22,4793,not available,not available,not available,not available,not available,not available,not available,not available,not available
23,4843,Syringic Acid: [M+H]+: 0.725,Syringic Acid,0.73,C9H10O5,[M+H]+,199.0601,-0.71,198.05282,4.72
24,5301,not available,not available,not available,not available,not available,not available,not available,not available,not available
25,5302,(-)-Epicatechin: [M+H]+: 0.670,(-)-Epicatechin,0.67,C15H14O6,[M+H]+,291.08631,-1.2,290.07904,4.89
26,5303,not available,not available,not available,not available,not available,not available,not available,not available,not available
27,5319,not available,not available,not available,not available,not available,not available,not available,not available,not available
28,5321,not available,not available,not available,not available,not available,not available,not available,not available,not available
29,5380,not available,not available,not available,not available,not available,not available,not available,not available,not available
30,5626,not available,not available,not available,not available,not available,not available,not available,not available,not available
31,5629,not available,not available,not available,not available,not available,not available,not available,not available,not available
32,5755,Procyanidin C1: [M+H]+: 0.745,Procyanidin C1,0.74,C45H38O18,[M+H]+,867.21309,-1.41,866.20581,5.07
33,6038,not available,not available,not available,not available,not available,not available,not available,not available,not available
34,6049,not available,not available,not available,not available,not available,not available,not available,not available,not available
35,6113,Daidzein-7-B-D-Glucuronide: [M+H]+: 0.809,Daidzein-7-B-D-Glucuronide,0.81,C21H18O10,[M+H]+,431.09727,-0.7,430.09,5.21
36,6378,not available,not available,not available,not available,not available,not available,not available,not available,not available
37,6416,not available,not available,not available,not available,not available,not available,not available,not available,not available
38,6490,P-Coumaric Acid: [M+H]+: 0.761,P-Coumaric Acid,0.76,C9H8O3,[M+H]+,165.05462,0.01,164.04734,5.37
39,6604,not available,not available,not available,not available,not available,not available,not available,not available,not available
40,6852,not available,not available,not available,not available,not available,not available,not available,not available,not available
41,6969,not available,not available,not available,not available,not available,not available,not available,not available,not available
42,7298,(+)-Rutin: [M+H]+: 0.749,(+)-Rutin,0.75,C27H30O16,[M+H]+,611.16066,-0.95,610.15338,5.67
