query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,spectrum_ids,analog_compound_name,retention_time,retention_index,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.3459,182.9651,170.0569,353.0220,RHDVQZWCBQXOJW,247499,"N-[propyl-[2-(2,4,6-trichlorophenoxy)ethyl]carbamoyl]formamide",,,CCCN(CCOC1=C(Cl)C=C(Cl)C=C1Cl)C(=O)NC=O,Organic compounds,Benzenoids,Phenol ethers,,Phenol ethers,,,
2,0.5545,0.0319,271.0919,271.0600,ZJZSQGDOCUHCCW,67777,"7,8,3'-Trihydroxyflavone",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.3459,171.9589,155.9851,327.9440,CORFWQGVBFFZHF,62075,2-[(2-iodophenyl)carbonylamino]acetic acid,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.5554,12.0965,175.0475,187.1440,TVYWVSJGSHQWMT,26762,Ile-Leu-Lys,,,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O)N,,,,,,Dipeptides; Tripeptides,Small peptides,Amino acids and Peptides
5,0.5311,87.1600,131.9740,219.1340,NFDYGNFETJVMSE,27110,Ser-Leu,,,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CO)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
6,0.5284,23.9407,178.9747,155.0340,UIAFKZKHHVMJGS,62584,"2,4-dihydroxybenzoic acid",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.7553,0.0000,139.0500,139.0500,LOIYMIARKYCTBW,6270,UROCANATE - 70.0 eV,,,OC(=O)\C=C\C1=CNC=N1,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Imidazolyl carboxylic acids and derivatives,,,
8,0.4090,167.0906,273.1074,440.1980,DYIHRLDJILTPIW,59829,2-{4-[(6-ethoxy-2-oxochromen-4-yl)methyl]piperazinyl}-N-(4-fluorophenyl)acetam ide,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.5284,0.0439,138.9951,139.0390,FJKROLUGYXJWQN,69531,4-HYDROXYBENZOIC ACID,,,C1=CC(=CC=C1C(=O)O)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
10,0.5546,44.1770,174.9530,219.1300,TWVKGYNQQAUNRN,26459,Ile-Ser,,,CC[C@H](C)[C@@H](C(=O)N[C@@H](CO)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
11,0.6930,0.0001,170.0921,170.0920,BRMWTNUJHUMWMS,6213,1-METHYL-L-HISTIDINE - 40.0 eV,,,CN1C=NC(C[C@H](N)C(O)=O)=C1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Histidine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
