query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,spectrum_ids,analog_compound_name,retention_time,retention_index,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.3775,123.0081,105.0339,228.0420,ZCGLNFAUVVHTQO,276075,3-[(4-chlorobenzoyl)amino]propanoic acid,,,C1=CC(=CC=C1C(=O)NCCC(=O)O)Cl,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Beta amino acids and derivatives,,,
2,0.7120,0.0007,113.0237,113.0230,IHCCAYCGZOLTEU,303482,3-FUROIC ACID,,,OC(=O)C1=COC=C1,Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,Furoic acids,,,
3,0.7416,0.0001,120.0809,120.0810,LPAGFVYQRIESJQ,313913,Indolin,,,C1CC2=CC=CC=C2N1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolines,Indolines,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
4,0.7399,0.0006,122.0966,122.0960,UFFBMTHBGFGIHF,274723,"2,6-Dimethylaniline",,,CC1=C(C(=CC=C1)C)N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Xylenes,m-Xylenes,,,
5,0.4090,310.2715,125.0235,435.2950,SCABKEBYDRTODC,265703,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,,,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
6,0.8382,0.0004,127.0504,127.0500,RWQNBRDOKXIBIV,303494,THYMINE,,,CC1=CNC(=O)NC1=O,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Hydroxypyrimidines,Purine alkaloids; Pyridine alkaloids,Pseudoalkaloids (transamidation); Nicotinic acid alkaloids,Alkaloids
7,0.7141,0.0002,136.0618,136.0620,GFFGJBXGBJISGV,57697,adenine,,,C1=NC2=NC=NC(=C2N1)N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,Purine alkaloids,Pseudoalkaloids (transamidation),Alkaloids
8,0.6237,0.0001,143.0339,143.0340,PCSKKIUURRTAEM,306586,5-HYDROXYMETHYL-2-FURANCARBOXYLIC ACID,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.7119,0.0006,144.0656,144.0650,OYIFNHCXNCRBQI,28452,AMINOADIPATE,,,NC(CCCC(O)=O)C(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,Aminoacids,Small peptides,Amino acids and Peptides
10,0.6209,0.0006,144.0656,144.0650,XLBVNMSMFQMKEY,28339,N-METHYLGLUTAMATE,,,CNC(CCC(=O)O)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamic acid and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
