query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,retention_index,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.2939,494.0601,170.0569,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,32.3040,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
2,0.4090,417.0651,271.0919,688.1570,KDTSHFARGAKYJN,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl [hydroxy-[3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-(2-sulfanylethylamino)propyl]amino]butoxy]phosphoryl] hydrogen pho",CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O)C(C(=O)NCCC(=O)NCCS)O,32.4680,,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Purine ribonucleoside diphosphates,Fatty acyl CoAs,Fatty esters,Fatty acids
3,0.2939,171.9589,155.9851,327.9440,CORFWQGVBFFZHF,2-[(2-iodophenyl)carbonylamino]acetic acid,O=C(O)CN=C(O)c1ccccc1I,33.0080,,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hippuric acids,,,Shikimates and Phenylpropanoids
4,0.2939,469.7395,175.0475,644.7870,OLAOYPRJVHUHCF,"3-acetamido-5-(2-hydroxyethylcarbamoyl)-2,4,6-triiodo-benzoic acid",CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(C(=O)NCCO)=C1I,32.7260,,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Halobenzoic acids,,,
5,0.2939,678.6160,131.9740,810.5900,ZSLZBFCDCINBPY,Acetyl CoA,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,32.9770,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
6,0.4090,719.1893,178.9747,898.1640,JVNVHNHITFVWIX,cinnamoyl CoA,O=C(SCCNC(CCNC(C(C(C)(C)COP(OP(OCC1C(OP(O)(O)=O)C(O)C(N2C(N=CN=C3N)=C3N=C2)O1)(O)=O)(O)=O)O)=O)=O)/C=C/C4=CC=CC=C4,32.9790,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,2-enoyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
7,0.2939,289.2600,139.0500,428.3100,XTWYTFMLZFPYCI,Adenosine-5'-diphosphate Di(monocyclohexylammonium)salt,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O,32.5530,,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Purine ribonucleoside diphosphates,Purine nucleos(t)ides,Nucleosides,Carbohydrates
8,0.2939,154.9296,273.1074,428.0370,WHTCPDAXWFLDIH,"""ADENOSINE 3',5'-DIPHOSPHATE""",C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N,32.8390,,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,"Purine ribonucleoside 3',5'-bisphosphates",Purine nucleos(t)ides,Nucleosides,Carbohydrates
9,0.2939,229.9129,138.9951,368.9080,UTUCNPNGMNEWGE,8-bromo-6-chloro-2-(2-chlorophenyl)chromen-4-one,O=c1cc(-c2ccccc2Cl)oc2c(Br)cc(Cl)cc12,32.7850,,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavones,Flavones,Flavonoids,Shikimates and Phenylpropanoids
10,0.2939,415.1370,174.9530,590.0900,WFPZSXYXPSUOPY,ADENOSINE-5'-DIPHOSPHOGLUCOSE - 30.0 eV,NC1=C2N=CN([C@@H]3O[C@H](CO[P@](O)(=O)O[P@](O)(=O)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1,33.0350,,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine nucleotide sugars,Purine nucleotide sugars,Purine nucleos(t)ides,Nucleosides,Carbohydrates
11,0.2939,640.4979,170.0921,810.5900,ZSLZBFCDCINBPY,Acetyl coenzyme A (C2:0),CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,32.7110,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
